Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-01-08 20:35","40263","40160","40146",
"2024-01-08 20:40","40282","40111","40146",
"2024-01-08 20:45","40192","40024","40246",
"2024-01-08 20:50","40273","39956","40246",
"2024-01-08 20:55","40217","39965","40246",
"2024-01-08 21:00","40115","40050","40052",
"2024-01-08 21:05","39945","40105","40052",
"2024-01-08 21:10","39886","40021","40052",
"2024-01-08 21:15","39841","39799","39572",
"2024-01-08 21:20","39721","39514","39572",
"2024-01-08 21:25","39544","39244","39572",
"2024-01-08 21:30","39182","38988","38912",
"2024-01-08 21:35","38780","38722","38912",
"2024-01-08 21:40","38674","38421","38912",
"2024-01-08 21:45","38286","38087","37812",
"2024-01-08 21:50","37978","37753","37812",
"2024-01-08 21:55","37540","37456","37812",
"2024-01-08 22:00","37143","37195","36527",
"2024-01-08 22:05","36584","36932","36527",
"2024-01-08 22:10","36236","36624","36527",
"2024-01-08 22:15","35847","36273","35739",
"2024-01-08 22:20","35459","35901","35739",
"2024-01-08 22:25","35258","35534","35739",
"2024-01-08 22:30","35072","35171","34740",
"2024-01-08 22:35","34730","34819","34740",
"2024-01-08 22:40","34499","34489","34740",
"2024-01-08 22:45","34084","34179","33760",
"2024-01-08 22:50","33803","33841","33760",
"2024-01-08 22:55","33464","33426","33760",
"2024-01-08 23:00","33177","32935","32167",
"2024-01-08 23:05","32703","32456","32167",
"2024-01-08 23:10","32170","32077","32167",
"2024-01-08 23:15","31774","31796","31467",
"2024-01-08 23:20","31738","31560","31467",
"2024-01-08 23:25","31331","31310","31467",
"2024-01-08 23:30","31140","31048","30737",
"2024-01-08 23:35","30763","30782","30737",
"2024-01-08 23:40","30385","30523","30737",
"2024-01-08 23:45","30090","30271","30237",
"2024-01-08 23:50","29864","30037","30237",
"2024-01-08 23:55","29672","29833","30237",
"2024-01-09 00:00","29205","29660","29378",
"2024-01-09 00:05","29458","29487","29378",
"2024-01-09 00:10","29441","29287","29378",
"2024-01-09 00:15","29201","29058","28698",
"2024-01-09 00:20","28955","28819","28698",
"2024-01-09 00:25","28841","28590","28698",
"2024-01-09 00:30","28695","28370","28176",
"2024-01-09 00:35","28639","28159","28176",
"2024-01-09 00:40","28224","27954","28176",
"2024-01-09 00:45","27950","27757","27546",
"2024-01-09 00:50","27513","27558","27546",
"2024-01-09 00:55","27458","27347","27546",
"2024-01-09 01:00","27198","27125","26766",
"2024-01-09 01:05","27364","26912","26766",
"2024-01-09 01:10","27007","26728","26766",
"2024-01-09 01:15","26865","26574","26366",
"2024-01-09 01:20","26870","26433","26366",
"2024-01-09 01:25","26799","26292","26366",
"2024-01-09 01:30","26550","26150","25966",
"2024-01-09 01:35","26293","26013","25966",
"2024-01-09 01:40","25981","25889","25966",
"2024-01-09 01:45","25836","25777","25666",
"2024-01-09 01:50","25820","25665","25666",
"2024-01-09 01:55","25835","25543","25666",
"2024-01-09 02:00","25483","25409","25174",
"2024-01-09 02:05","25557","25281","25174",
"2024-01-09 02:10","25630","25176","25174",
"2024-01-09 02:15","25532","25094","24957",
"2024-01-09 02:20","25418","25025","24957",
"2024-01-09 02:25","25226","24957","24957",
"2024-01-09 02:30","25045","24892","24857",
"2024-01-09 02:35","25026","24828","24857",
"2024-01-09 02:40","25080","24767","24857",
"2024-01-09 02:45","25004","24708","24857",
"2024-01-09 02:50","25059","24659","24857",
"2024-01-09 02:55","25022","24625","24857",
"2024-01-09 03:00","24966","","",
